,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
concrete-maura,2020-09-28 11:00:00,832060,,0.51114374,0.29253283,0.36588177,-37.0,
mechanical-mariska,2020-09-28 11:00:00,832060,-1 days +12:00:00,0.5139888,0.29451934,0.37016115,-37.0,-12.0
pleasant-paulina,2020-09-28 11:00:00,832060,-1 days +00:00:00,0.50668347,0.28777063,0.36282182,-37.0,-24.0
leading-adan,2020-10-01 23:00:00,833740,,1.7256206,3.305816,1.2699729,-12.0,
charming-pansie,2020-10-01 23:00:00,833740,-1 days +12:00:00,1.7093025,3.2303936,1.2470602,-12.0,-12.0
fresh-chloette,2020-10-01 23:00:00,833740,-1 days +00:00:00,1.6466786,2.9972184,1.2052747,-12.0,-24.0
plastic-susanna,2020-10-02 11:00:00,833980,,1.7541943,3.6733434,1.2919468,-24.0,
conventional-renata,2020-10-02 11:00:00,833980,-1 days +12:00:00,1.7329959,3.602132,1.2774268,-24.0,-12.0
passing-becky,2020-10-02 11:00:00,833980,-1 days +00:00:00,1.75991,3.6909332,1.2981734,-24.0,-24.0
