,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
deep-antonella,2017-11-29 10:30:00,335730,,0.6173057,0.81184673,0.44670215,35.0,
amused-eustacia,2017-11-29 10:30:00,335730,-1 days +12:00:00,0.6080398,0.678809,0.4455004,35.0,-12.0
added-sydney,2017-11-29 10:30:00,335730,-1 days +00:00:00,0.62170964,0.7114385,0.4565052,35.0,-24.0
brainy-gertrud,2017-12-02 22:30:00,337410,,1.0601183,1.5736307,0.70618296,-12.0,
weary-federica,2017-12-02 22:30:00,337410,-1 days +12:00:00,1.042277,1.5211691,0.69537574,-12.0,-12.0
zany-meriel,2017-12-02 22:30:00,337410,-1 days +00:00:00,1.0693411,1.5436765,0.718096,-12.0,-24.0
commercial-margy,2017-12-03 10:30:00,337650,,0.78981304,0.7203946,0.5661271,6.0,
stupid-lidia,2017-12-03 10:30:00,337650,-1 days +12:00:00,0.78969765,0.7199281,0.5662909,6.0,-12.0
stale-rivy,2017-12-03 10:30:00,337650,-1 days +00:00:00,0.7516741,0.6598372,0.53688073,6.0,-24.0
