,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
awake-nananne,2020-07-05 05:00:00,791140,,0.5970866,0.48497137,0.42891908,72.0,
bold-annalee,2020-07-05 05:00:00,791140,-1 days +12:00:00,0.5964084,0.47801033,0.42471614,72.0,-12.0
xenophobic-devondra,2020-07-05 05:00:00,791140,-1 days +00:00:00,0.5957921,0.48107287,0.42826924,72.0,-24.0
subtle-roze,2020-07-08 17:00:00,792820,,0.73192376,0.6512313,0.51706696,-12.0,
stormy-audi,2020-07-08 17:00:00,792820,-1 days +12:00:00,0.6314,0.51515764,0.45074534,-12.0,-12.0
very-cassaundra,2020-07-08 17:00:00,792820,-1 days +00:00:00,0.63018256,0.5067323,0.44818878,-12.0,-24.0
respectable-trish,2020-07-09 05:00:00,793060,,0.6089588,0.45444688,0.43051472,-24.0,
racial-denyse,2020-07-09 05:00:00,793060,-1 days +12:00:00,0.58886474,0.42246318,0.4254552,-24.0,-12.0
northern-nessa,2020-07-09 05:00:00,793060,-1 days +00:00:00,0.899429,0.91060144,0.65452105,-24.0,-24.0
