,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
appalling-stormi,2017-11-09 18:00:00,326280,,0.69974536,0.5663672,0.50331324,72.0,
ambitious-debbie,2017-11-09 18:00:00,326280,-1 days +12:00:00,0.6996336,0.56447715,0.50317687,72.0,-12.0
conventional-selma,2017-11-09 18:00:00,326280,-1 days +00:00:00,0.69914323,0.56354177,0.5023142,72.0,-24.0
spectacular-meta,2017-11-13 06:00:00,327960,,0.8493325,0.91358995,0.62057126,-12.0,
substantial-bel,2017-11-13 06:00:00,327960,-1 days +12:00:00,0.9331525,1.0556921,0.67020303,-12.0,-12.0
outrageous-ameline,2017-11-13 06:00:00,327960,-1 days +00:00:00,0.8612762,0.94395,0.6259112,-12.0,-24.0
successful-hatti,2017-11-13 18:00:00,328200,,0.6544339,0.47962984,0.4849882,-24.0,
supporting-robenia,2017-11-13 18:00:00,328200,-1 days +12:00:00,0.6548498,0.48028958,0.48525658,-24.0,-12.0
vocational-jenifer,2017-11-13 18:00:00,328200,-1 days +00:00:00,0.75569606,0.62852526,0.5447049,-24.0,-24.0
