,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
confused-estella,2020-11-30 05:30:00,862190,,0.7049443,0.6085071,0.5103245,72.0,
tall-siouxie,2020-11-30 05:30:00,862190,-1 days +12:00:00,0.710932,0.6165392,0.5160899,72.0,-12.0
registered-astrix,2020-11-30 05:30:00,862190,-1 days +00:00:00,0.75452644,0.69863766,0.54702616,72.0,-24.0
obvious-josephine,2020-12-03 17:30:00,863870,,1.8434521,3.7578967,1.3215042,-12.0,
imaginative-sella,2020-12-03 17:30:00,863870,-1 days +12:00:00,1.781212,3.5537825,1.2764496,-12.0,-12.0
sheer-costanza,2020-12-03 17:30:00,863870,-1 days +00:00:00,1.7865967,3.5806572,1.2839165,-12.0,-24.0
frequent-mandy,2020-12-04 05:30:00,864110,,1.9793185,4.319498,1.3866181,-24.0,
hilarious-berti,2020-12-04 05:30:00,864110,-1 days +12:00:00,1.9699564,4.266395,1.3842386,-24.0,-12.0
rotten-ardine,2020-12-04 05:30:00,864110,-1 days +00:00:00,1.9614849,4.2308917,1.3775402,-24.0,-24.0
