,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
excited-corrina,2017-01-03 02:30:00,177170,,1.0656995,1.3229504,0.8093031,72.0,
bold-juana,2017-01-03 02:30:00,177170,-1 days +12:00:00,0.96012545,1.116635,0.70201164,72.0,-12.0
lively-danika,2017-01-03 02:30:00,177170,-1 days +00:00:00,0.9170045,0.993201,0.67984146,72.0,-24.0
unnecessary-malva,2017-01-06 14:30:00,178850,,0.6949362,0.54780966,0.496243,-12.0,
united-britni,2017-01-06 14:30:00,178850,-1 days +12:00:00,0.69268847,0.5453771,0.4923466,-12.0,-12.0
ethnic-loretta,2017-01-06 14:30:00,178850,-1 days +00:00:00,0.6522059,0.48491764,0.4634068,-12.0,-24.0
confused-netty,2017-01-07 02:30:00,179090,,0.5863469,0.39565912,0.42739287,-24.0,
aware-barbee,2017-01-07 02:30:00,179090,-1 days +12:00:00,0.58806765,0.40512693,0.43328467,-24.0,-12.0
tense-romola,2017-01-07 02:30:00,179090,-1 days +00:00:00,0.64364827,0.47447076,0.47113875,-24.0,-24.0
