,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
alright-rosalind,2017-06-04 09:00:00,250260,,1.0879062,1.5402857,0.781662,72.0,
unable-lizzie,2017-06-04 09:00:00,250260,-1 days +12:00:00,1.1390553,1.7057439,0.8085894,72.0,-12.0
weak-julie,2017-06-04 09:00:00,250260,-1 days +00:00:00,1.0827348,1.5041536,0.78133374,72.0,-24.0
residential-floris,2017-06-07 21:00:00,251940,,0.66211796,0.48070517,0.47452378,-12.0,
curious-kimberlee,2017-06-07 21:00:00,251940,-1 days +12:00:00,0.62558645,0.43180242,0.4537475,-12.0,-12.0
juicy-calley,2017-06-07 21:00:00,251940,-1 days +00:00:00,0.66655415,0.48740807,0.47723958,-12.0,-24.0
probable-genvieve,2017-06-08 09:00:00,252180,,0.57183486,0.36832368,0.4145708,-24.0,
relative-mariette,2017-06-08 09:00:00,252180,-1 days +12:00:00,0.5916459,0.39098886,0.43325353,-24.0,-12.0
broken-althea,2017-06-08 09:00:00,252180,-1 days +00:00:00,0.6614232,0.4963381,0.47488913,-24.0,-24.0
