,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
working-lonni,2019-09-30 04:30:00,657210,,0.662459,0.50811833,0.4760872,72.0,
mere-ola,2019-09-30 04:30:00,657210,-1 days +12:00:00,0.6388955,0.46988788,0.45537674,72.0,-12.0
round-guillema,2019-09-30 04:30:00,657210,-1 days +00:00:00,0.55824035,0.36226282,0.40337262,72.0,-24.0
considerable-harmonia,2019-10-03 16:30:00,658890,,0.594166,0.3951781,0.42383063,-12.0,
collective-alfie,2019-10-03 16:30:00,658890,-1 days +12:00:00,0.66154885,0.477636,0.46664062,-12.0,-12.0
hissing-pearla,2019-10-03 16:30:00,658890,-1 days +00:00:00,0.613936,0.4163536,0.4398254,-12.0,-24.0
unemployed-shanta,2019-10-04 04:30:00,659130,,0.5794959,0.37027237,0.41310677,-24.0,
stale-charlotte,2019-10-04 04:30:00,659130,-1 days +12:00:00,0.52735966,0.3056588,0.3769803,-24.0,-12.0
direct-emelina,2019-10-04 04:30:00,659130,-1 days +00:00:00,0.51384753,0.28856924,0.3649969,-24.0,-24.0
