,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
historical-ellette,2019-12-06 22:30:00,689730,,0.56604093,0.38765565,0.41042754,72.0,
ruling-kathlin,2019-12-06 22:30:00,689730,-1 days +12:00:00,0.6120785,0.4797152,0.45316443,72.0,-12.0
formidable-murial,2019-12-06 22:30:00,689730,-1 days +00:00:00,0.55481696,0.38103732,0.40194917,72.0,-24.0
familiar-quintilla,2019-12-10 10:30:00,691410,,0.75052196,0.6392886,0.54381883,11.0,
yodelling-lavina,2019-12-10 10:30:00,691410,-1 days +12:00:00,0.6677945,0.4951488,0.46962488,11.0,-12.0
like-barbra,2019-12-10 10:30:00,691410,-1 days +00:00:00,0.6669591,0.49407342,0.4688693,11.0,-24.0
disastrous-dynah,2019-12-10 22:30:00,691650,,1.3403891,2.200762,0.9133583,-1.0,
various-rebekkah,2019-12-10 22:30:00,691650,-1 days +12:00:00,1.5420799,3.1103103,1.052581,-1.0,-12.0
vocal-kelcey,2019-12-10 22:30:00,691650,-1 days +00:00:00,1.3602811,2.2408278,0.92841417,-1.0,-24.0
