,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
joint-octavia,2018-04-29 04:00:00,408080,,0.9876633,1.1800812,0.707566,72.0,
hard-gertrud,2018-04-29 04:00:00,408080,-1 days +12:00:00,0.98949504,1.1821405,0.70914644,72.0,-12.0
filthy-ranna,2018-04-29 04:00:00,408080,-1 days +00:00:00,0.9734767,1.1515523,0.6983977,72.0,-24.0
awkward-silva,2018-05-02 16:00:00,409760,,0.8683443,0.8246588,0.6304442,-6.0,
fundamental-hedwig,2018-05-02 16:00:00,409760,-1 days +12:00:00,0.8922717,0.86434954,0.64687973,-6.0,-12.0
interim-dannye,2018-05-02 16:00:00,409760,-1 days +00:00:00,0.74217075,0.59326106,0.5412366,-6.0,-24.0
frightened-keelia,2018-05-03 04:00:00,410000,,0.65982187,0.48488888,0.4878997,-18.0,
basic-aubrey,2018-05-03 04:00:00,410000,-1 days +12:00:00,0.8088235,0.7202696,0.5885904,-18.0,-12.0
dear-carlie,2018-05-03 04:00:00,410000,-1 days +00:00:00,0.7515738,0.6406871,0.548558,-18.0,-24.0
