,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
exclusive-tildie,2019-05-08 10:00:00,587720,,0.87092656,0.9414616,0.62614137,72.0,
spatial-bel,2019-05-08 10:00:00,587720,-1 days +12:00:00,0.87191373,0.9426015,0.6251962,72.0,-12.0
critical-jordanna,2019-05-08 10:00:00,587720,-1 days +00:00:00,0.89780736,0.99733895,0.63635015,72.0,-24.0
jealous-sarette,2019-05-11 22:00:00,589400,,0.68880695,0.49998942,0.5003928,-12.0,
digital-margery,2019-05-11 22:00:00,589400,-1 days +12:00:00,0.7051892,0.5224859,0.51087713,-12.0,-12.0
striped-hanni,2019-05-11 22:00:00,589400,-1 days +00:00:00,0.97463447,0.98895955,0.72374946,-12.0,-24.0
personal-yolane,2019-05-12 10:00:00,589640,,0.777596,0.6381058,0.56064695,-24.0,
remaining-anthea,2019-05-12 10:00:00,589640,-1 days +12:00:00,0.68149465,0.4949971,0.4987215,-24.0,-12.0
drunk-ursulina,2019-05-12 10:00:00,589640,-1 days +00:00:00,0.6569844,0.4643341,0.47865716,-24.0,-24.0
