,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
bewildered-delphinia,2017-02-02 13:30:00,191790,,1.1528637,1.5840098,0.8035264,-61.0,
short-flory,2017-02-02 13:30:00,191790,-1 days +12:00:00,1.1508132,1.5782725,0.8024897,-61.0,-12.0
poised-lorraine,2017-02-02 13:30:00,191790,-1 days +00:00:00,1.1842864,1.6837382,0.8235031,-61.0,-24.0
unusual-marni,2017-02-06 01:30:00,193470,,1.4414364,2.282616,1.0108367,2.0,
armed-traci,2017-02-06 01:30:00,193470,-1 days +12:00:00,1.443635,2.288926,1.0137303,2.0,-12.0
sleepy-geralda,2017-02-06 01:30:00,193470,-1 days +00:00:00,1.3483982,2.0101833,0.92956924,2.0,-24.0
terrible-angelina,2017-02-06 13:30:00,193710,,1.4465195,2.284325,1.0263486,-3.0,
difficult-mari,2017-02-06 13:30:00,193710,-1 days +12:00:00,1.3640361,2.0724962,0.9675885,-3.0,-12.0
clean-laryssa,2017-02-06 13:30:00,193710,-1 days +00:00:00,1.3620076,2.0614595,0.9625602,-3.0,-24.0
