,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
surprising-muriel,2019-07-31 09:30:00,628030,,0.54858994,0.32201156,0.39062858,72.0,
amazing-dorrie,2019-07-31 09:30:00,628030,-1 days +12:00:00,0.61080056,0.40861797,0.4360725,72.0,-12.0
crucial-mathilde,2019-07-31 09:30:00,628030,-1 days +00:00:00,0.56828374,0.35399985,0.4090698,72.0,-24.0
firm-tamera,2019-08-03 21:30:00,629710,,0.59599704,0.44799623,0.42738461,-12.0,
chilly-rici,2019-08-03 21:30:00,629710,-1 days +12:00:00,0.62925977,0.49800587,0.4547201,-12.0,-12.0
cooing-bobinette,2019-08-03 21:30:00,629710,-1 days +00:00:00,0.59566265,0.4477366,0.4270551,-12.0,-24.0
ancient-winnie,2019-08-04 09:30:00,629950,,0.63220006,0.4963725,0.44567847,10.0,
perfect-gwendolen,2019-08-04 09:30:00,629950,-1 days +12:00:00,0.6080741,0.4687682,0.4265209,10.0,-12.0
uneven-glen,2019-08-04 09:30:00,629950,-1 days +00:00:00,0.633141,0.49966428,0.44684434,10.0,-24.0
