,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
extensive-sidonia,2019-12-30 04:00:00,700880,,0.6573512,0.5119528,0.46316794,9.0,
irrelevant-lorraine,2019-12-30 04:00:00,700880,-1 days +12:00:00,0.62908053,0.47290266,0.44346216,9.0,-12.0
ready-eilis,2019-12-30 04:00:00,700880,-1 days +00:00:00,0.66529024,0.5209624,0.46890283,9.0,-24.0
special-kim,2020-01-02 16:00:00,702560,,0.84012514,0.76500297,0.5981752,-12.0,
artistic-charin,2020-01-02 16:00:00,702560,-1 days +12:00:00,0.746149,0.6068612,0.5200884,-12.0,-12.0
wittering-joete,2020-01-02 16:00:00,702560,-1 days +00:00:00,0.7476656,0.6093692,0.5217382,-12.0,-24.0
persistent-bertine,2020-01-03 04:00:00,702800,,0.7574296,0.65499943,0.5362137,-24.0,
frail-raphaela,2020-01-03 04:00:00,702800,-1 days +12:00:00,0.75732327,0.65414065,0.5405844,-24.0,-12.0
complex-caitrin,2020-01-03 04:00:00,702800,-1 days +00:00:00,0.76147723,0.66256136,0.54173476,-24.0,-24.0
