,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
resulting-phoebe,2018-10-13 08:30:00,488330,,0.6614819,0.4946017,0.47658727,72.0,
safe-carmencita,2018-10-13 08:30:00,488330,-1 days +12:00:00,0.6109898,0.4280883,0.4368554,72.0,-12.0
comparative-ailsun,2018-10-13 08:30:00,488330,-1 days +00:00:00,0.71803755,0.5653937,0.5194619,72.0,-24.0
upper-eolande,2018-10-16 20:30:00,490010,,0.5941811,0.4805436,0.43325472,-12.0,
exuberant-silva,2018-10-16 20:30:00,490010,-1 days +12:00:00,0.6069798,0.49065188,0.45561334,-12.0,-12.0
male-rayna,2018-10-16 20:30:00,490010,-1 days +00:00:00,0.5980481,0.4836221,0.43739304,-12.0,-24.0
yeasty-sapphire,2018-10-17 08:30:00,490250,,1.0140702,1.139098,0.74896026,-24.0,
crowded-dolli,2018-10-17 08:30:00,490250,-1 days +12:00:00,0.62004775,0.5750002,0.45330802,-24.0,-12.0
negative-cassandre,2018-10-17 08:30:00,490250,-1 days +00:00:00,0.616833,0.5711128,0.44919816,-24.0,-24.0
