,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
striped-chelsea,2019-06-11 20:30:00,604250,,0.7299836,0.5967098,0.5290884,72.0,
marine-amalie,2019-06-11 20:30:00,604250,-1 days +12:00:00,0.72914857,0.59575725,0.52712375,72.0,-12.0
peculiar-olivette,2019-06-11 20:30:00,604250,-1 days +00:00:00,0.7155593,0.5692242,0.5149725,72.0,-24.0
thick-faustine,2019-06-15 08:30:00,605930,,0.71483326,0.5817568,0.51350564,-12.0,
distant-valry,2019-06-15 08:30:00,605930,-1 days +12:00:00,0.8545809,0.8272791,0.6083018,-12.0,-12.0
mutual-agnes,2019-06-15 08:30:00,605930,-1 days +00:00:00,0.6970958,0.5587812,0.50071704,-12.0,-24.0
successful-jsandye,2019-06-15 20:30:00,606170,,0.8537092,0.8294442,0.607747,-24.0,
smart-vida,2019-06-15 20:30:00,606170,-1 days +12:00:00,0.68401533,0.5550763,0.48269263,-24.0,-12.0
occupational-debbie,2019-06-15 20:30:00,606170,-1 days +00:00:00,0.67327803,0.53986186,0.4763769,-24.0,-24.0
