,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
protective-kial,2020-03-04 20:30:00,732410,,1.603591,3.4659107,1.1168414,72.0,
vertical-ola,2020-03-04 20:30:00,732410,-1 days +12:00:00,1.7219661,3.2703667,1.1588292,72.0,-12.0
marine-chelsie,2020-03-04 20:30:00,732410,-1 days +00:00:00,1.6035582,3.465419,1.1167784,72.0,-24.0
intact-gretta,2020-03-08 08:30:00,734090,,1.1301279,1.518992,0.793284,-12.0,
square-simonne,2020-03-08 08:30:00,734090,-1 days +12:00:00,1.1534196,1.5328245,0.81083107,-12.0,-12.0
scornful-cybil,2020-03-08 08:30:00,734090,-1 days +00:00:00,1.1721934,1.5630327,0.8336099,-12.0,-24.0
spontaneous-cyndia,2020-03-08 20:30:00,734330,,1.157811,1.6058826,0.8077995,-24.0,
agricultural-crin,2020-03-08 20:30:00,734330,-1 days +12:00:00,1.1749288,1.6373955,0.8292393,-24.0,-12.0
ultimate-darelle,2020-03-08 20:30:00,734330,-1 days +00:00:00,1.1506143,1.5734283,0.80239177,-24.0,-24.0
