,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
quixotic-chandal,2020-11-05 06:30:00,850210,,0.43511227,0.23870198,0.31523696,72.0,
devoted-rayna,2020-11-05 06:30:00,850210,-1 days +12:00:00,0.44274056,0.24502818,0.31952772,72.0,-12.0
courageous-mellie,2020-11-05 06:30:00,850210,-1 days +00:00:00,0.44167733,0.2447006,0.3205177,72.0,-24.0
innovative-juieta,2020-11-08 18:30:00,851890,,0.6307002,0.45336714,0.46406278,-12.0,
vivacious-charo,2020-11-08 18:30:00,851890,-1 days +12:00:00,0.617542,0.43630323,0.45414662,-12.0,-12.0
reduced-antoinette,2020-11-08 18:30:00,851890,-1 days +00:00:00,0.6143815,0.4318622,0.45135197,-12.0,-24.0
young-beatrice,2020-11-09 06:30:00,852130,,0.66011196,0.50004673,0.47475383,-24.0,
exact-corry,2020-11-09 06:30:00,852130,-1 days +12:00:00,0.60697794,0.42862794,0.43635193,-24.0,-12.0
overseas-erica,2020-11-09 06:30:00,852130,-1 days +00:00:00,0.6019439,0.42311624,0.43186584,-24.0,-24.0
