,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
weary-anna-diana,2018-06-30 01:30:00,437790,,0.52296853,0.33359823,0.3761058,72.0,
cloudy-hanny,2018-06-30 01:30:00,437790,-1 days +12:00:00,0.5384001,0.34951413,0.3894124,72.0,-12.0
bottom-marleen,2018-06-30 01:30:00,437790,-1 days +00:00:00,0.5381356,0.349448,0.38842455,72.0,-24.0
wandering-lina,2018-07-03 13:30:00,439470,,0.62491703,0.46707106,0.44299412,-12.0,
xenogeneic-lorita,2018-07-03 13:30:00,439470,-1 days +12:00:00,0.6776326,0.55113214,0.4798961,-12.0,-12.0
exciting-ynez,2018-07-03 13:30:00,439470,-1 days +00:00:00,0.6275933,0.4711133,0.445222,-12.0,-24.0
previous-arlyn,2018-07-04 01:30:00,439710,,0.82656604,0.81358576,0.5902765,7.0,
agreeable-tarra,2018-07-04 01:30:00,439710,-1 days +12:00:00,0.8244911,0.8095124,0.58929914,7.0,-12.0
central-glynis,2018-07-04 01:30:00,439710,-1 days +00:00:00,0.80709314,0.78026026,0.57855594,7.0,-24.0
