,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
flat-denys,2018-01-30 06:00:00,365400,,0.77056676,0.65246123,0.5425829,72.0,
powerful-alia,2018-01-30 06:00:00,365400,-1 days +12:00:00,0.8299265,0.742815,0.58370954,72.0,-12.0
large-sylvia,2018-01-30 06:00:00,365400,-1 days +00:00:00,0.7711668,0.65329105,0.5404404,72.0,-24.0
orthodox-nan,2018-02-02 18:00:00,367080,,1.2052387,1.755772,0.7626105,-12.0,
tropical-brooks,2018-02-02 18:00:00,367080,-1 days +12:00:00,1.3249446,2.07875,0.83554953,-12.0,-12.0
related-bathsheba,2018-02-02 18:00:00,367080,-1 days +00:00:00,1.2097311,1.7727114,0.76513726,-12.0,-24.0
standard-adelaida,2018-02-03 06:00:00,367320,,1.0087885,1.3218004,0.67832977,-24.0,
unusual-malory,2018-02-03 06:00:00,367320,-1 days +12:00:00,1.0430045,1.4096437,0.7007003,-24.0,-12.0
awkward-sharia,2018-02-03 06:00:00,367320,-1 days +00:00:00,1.017152,1.3378325,0.68303853,-24.0,-24.0
