,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
agricultural-jaime,2019-01-03 04:30:00,527610,,0.9267168,1.0017667,0.6268453,-56.0,
unnecessary-dominga,2019-01-03 04:30:00,527610,-1 days +12:00:00,0.88453937,0.9273346,0.6012159,-56.0,-12.0
straightforward-iris,2019-01-03 04:30:00,527610,-1 days +00:00:00,0.9253014,1.0005801,0.62653923,-56.0,-24.0
dull-gigi,2019-01-06 16:30:00,529290,,0.71775883,0.5826048,0.5187239,-3.0,
national-aprilette,2019-01-06 16:30:00,529290,-1 days +12:00:00,0.84064656,0.790569,0.61149657,-3.0,-12.0
ridiculous-liv,2019-01-06 16:30:00,529290,-1 days +00:00:00,0.7141256,0.5768208,0.5158899,-3.0,-24.0
odd-fifine,2019-01-07 04:30:00,529530,,0.7579101,0.62547773,0.54320294,-15.0,
associated-malina,2019-01-07 04:30:00,529530,-1 days +12:00:00,0.7012345,0.5369232,0.5059023,-15.0,-12.0
head-shandie,2019-01-07 04:30:00,529530,-1 days +00:00:00,0.76199627,0.6287112,0.54320663,-15.0,-24.0
