,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
wee-arabele,2017-09-30 20:30:00,307130,,0.57337207,0.3701251,0.40325513,72.0,
flaky-theresina,2017-09-30 20:30:00,307130,-1 days +12:00:00,0.5721449,0.36855802,0.401948,72.0,-12.0
philosophical-keslie,2017-09-30 20:30:00,307130,-1 days +00:00:00,0.5736502,0.36944902,0.40681115,72.0,-24.0
careful-katharine,2017-10-04 08:30:00,308810,,0.69701403,0.53958607,0.47664037,-12.0,
actual-magdaia,2017-10-04 08:30:00,308810,-1 days +12:00:00,0.68203616,0.5198043,0.46567297,-12.0,-12.0
very-liva,2017-10-04 08:30:00,308810,-1 days +00:00:00,0.66077924,0.49596605,0.45447996,-12.0,-24.0
registered-layney,2017-10-04 20:30:00,309050,,0.70425004,0.5351279,0.49514785,-24.0,
beautiful-luelle,2017-10-04 20:30:00,309050,-1 days +12:00:00,0.5874424,0.37260476,0.41529584,-24.0,-12.0
mere-imelda,2017-10-04 20:30:00,309050,-1 days +00:00:00,0.6294672,0.42767227,0.4427503,-24.0,-24.0
