,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
frequent-agnella,2017-02-27 11:00:00,203740,,0.8846863,0.9057997,0.60407794,72.0,
eager-adeline,2017-02-27 11:00:00,203740,-1 days +12:00:00,0.958796,1.0557643,0.65488005,72.0,-12.0
military-emelia,2017-02-27 11:00:00,203740,-1 days +00:00:00,0.92323256,0.97844744,0.62249655,72.0,-24.0
rich-janenna,2017-03-02 23:00:00,205420,,1.4824758,2.5718117,1.0120801,-4.0,
possible-avrit,2017-03-02 23:00:00,205420,-1 days +12:00:00,1.5483862,2.8588135,1.0539662,-4.0,-12.0
surprised-sarita,2017-03-02 23:00:00,205420,-1 days +00:00:00,1.5089296,2.7317324,1.023468,-4.0,-24.0
invisible-ingeberg,2017-03-03 11:00:00,205660,,1.7952739,3.9880974,1.214614,-16.0,
junior-truda,2017-03-03 11:00:00,205660,-1 days +12:00:00,1.8380351,4.2089667,1.2512937,-16.0,-12.0
yummy-catherine,2017-03-03 11:00:00,205660,-1 days +00:00:00,1.9625467,4.8370166,1.3342384,-16.0,-24.0
