,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
golden-angelita,2020-04-06 12:00:00,748080,,0.614904,0.40764704,0.45071054,72.0,
yappy-dulciana,2020-04-06 12:00:00,748080,-1 days +12:00:00,0.5922332,0.37985447,0.429834,72.0,-12.0
bored-layla,2020-04-06 12:00:00,748080,-1 days +00:00:00,1.0109104,1.0992595,0.7518306,72.0,-24.0
cultural-fulvia,2020-04-10 00:00:00,749760,,0.5637728,0.37750873,0.41499314,-12.0,
safe-karoly,2020-04-10 00:00:00,749760,-1 days +12:00:00,0.58700126,0.40692553,0.42549345,-12.0,-12.0
remarkable-tiphani,2020-04-10 00:00:00,749760,-1 days +00:00:00,0.56963557,0.3829114,0.41669726,-12.0,-24.0
delicious-cornelia,2020-04-10 12:00:00,750000,,0.50013894,0.30121478,0.3772721,-24.0,
desirable-lilia,2020-04-10 12:00:00,750000,-1 days +12:00:00,0.5017993,0.3022836,0.37817273,-24.0,-12.0
damp-gaye,2020-04-10 12:00:00,750000,-1 days +00:00:00,0.49599358,0.2980489,0.37427267,-24.0,-24.0
