,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
available-doralin,2018-04-05 01:00:00,396500,,0.7004509,0.53534985,0.5075335,72.0,
dependent-jen,2018-04-05 01:00:00,396500,-1 days +12:00:00,0.670207,0.4893616,0.48724517,72.0,-12.0
worthy-eugine,2018-04-05 01:00:00,396500,-1 days +00:00:00,0.6544666,0.46765056,0.47205997,72.0,-24.0
anxious-blakelee,2018-04-08 13:00:00,398180,,0.79318625,0.801164,0.57620895,-12.0,
odd-eran,2018-04-08 13:00:00,398180,-1 days +12:00:00,0.8385289,0.87469286,0.6091317,-12.0,-12.0
deaf-xylia,2018-04-08 13:00:00,398180,-1 days +00:00:00,0.82107544,0.85126925,0.59412104,-12.0,-24.0
invisible-alameda,2018-04-09 01:00:00,398420,,0.8118275,0.79862213,0.56798273,-24.0,
proper-doralynn,2018-04-09 01:00:00,398420,-1 days +12:00:00,0.80201703,0.7889264,0.5632228,-24.0,-12.0
nutritious-silvia,2018-04-09 01:00:00,398420,-1 days +00:00:00,0.80999285,0.7934432,0.5659145,-24.0,-24.0
