,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
negative-caye,2017-04-02 06:00:00,219960,,0.7287979,0.58182436,0.5218909,-37.0,
shiny-verla,2017-04-02 06:00:00,219960,-1 days +12:00:00,0.7187722,0.5637622,0.5154363,-37.0,-12.0
historical-berty,2017-04-02 06:00:00,219960,-1 days +00:00:00,0.8105645,0.7424436,0.5708612,-37.0,-24.0
smiling-joscelin,2017-04-05 18:00:00,221640,,0.7088899,0.5479672,0.5061256,2.0,
strict-devan,2017-04-05 18:00:00,221640,-1 days +12:00:00,0.7224035,0.5639813,0.51408017,2.0,-12.0
disciplinary-netta,2017-04-05 18:00:00,221640,-1 days +00:00:00,0.7004421,0.5364892,0.4996259,2.0,-24.0
average-arlina,2017-04-06 06:00:00,221880,,0.67215395,0.5007324,0.48242474,-10.0,
improved-daloris,2017-04-06 06:00:00,221880,-1 days +12:00:00,0.66871077,0.4962816,0.47612807,-10.0,-12.0
regular-chrysler,2017-04-06 06:00:00,221880,-1 days +00:00:00,0.7231652,0.56533957,0.5157063,-10.0,-24.0
