,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
breezy-griselda,2017-04-29 21:00:00,233220,,1.0312232,1.1306189,0.77685386,-11.0,
difficult-codie,2017-04-29 21:00:00,233220,-1 days +12:00:00,0.6872439,0.5212092,0.49325392,-11.0,-12.0
subjective-sylvia,2017-04-29 21:00:00,233220,-1 days +00:00:00,1.0313343,1.1309133,0.77695966,-11.0,-24.0
involved-trude,2017-05-03 09:00:00,234900,,0.19108455,0.038434394,0.13618827,-1.0,
exceptional-carly,2017-05-03 09:00:00,234900,-1 days +12:00:00,0.18576016,0.035691876,0.13604541,-1.0,-12.0
zany-tressa,2017-05-03 09:00:00,234900,-1 days +00:00:00,0.1850696,0.035688963,0.13382341,-1.0,-24.0
inclined-katha,2017-05-03 21:00:00,235140,,0.15386419,0.024459332,0.107435636,-13.0,
disappointed-dayna,2017-05-03 21:00:00,235140,-1 days +12:00:00,0.15369792,0.02520754,0.10852331,-13.0,-12.0
vivid-fidela,2017-05-03 21:00:00,235140,-1 days +00:00:00,0.16263656,0.027842253,0.116186,-13.0,-24.0
