,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
southern-jacquetta,2019-07-05 07:00:00,615500,,0.69667274,0.5341947,0.49817547,72.0,
necessary-alysia,2019-07-05 07:00:00,615500,-1 days +12:00:00,0.69296646,0.52922076,0.49342534,72.0,-12.0
recent-holli,2019-07-05 07:00:00,615500,-1 days +00:00:00,0.69694954,0.5350401,0.49827072,72.0,-24.0
imaginative-hildegarde,2019-07-08 19:00:00,617180,,0.76186305,0.62576944,0.54228806,-12.0,
influential-clarette,2019-07-08 19:00:00,617180,-1 days +12:00:00,0.7531113,0.61388916,0.5369599,-12.0,-12.0
relevant-ula,2019-07-08 19:00:00,617180,-1 days +00:00:00,1.0763994,1.2389488,0.78826284,-12.0,-24.0
managing-marcella,2019-07-09 07:00:00,617420,,0.8211201,0.7458949,0.59308076,-24.0,
potential-georgiana,2019-07-09 07:00:00,617420,-1 days +12:00:00,0.7035541,0.5565701,0.51053077,-24.0,-12.0
circular-kristel,2019-07-09 07:00:00,617420,-1 days +00:00:00,0.8214368,0.7463253,0.5933075,-24.0,-24.0
