,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
given-dierdre,2018-12-11 06:00:00,516600,,0.8603875,0.8306594,0.61733913,72.0,
registered-sayre,2018-12-11 06:00:00,516600,-1 days +12:00:00,0.8610218,0.8315509,0.6177312,72.0,-12.0
mad-gustie,2018-12-11 06:00:00,516600,-1 days +00:00:00,0.8024812,0.7335713,0.57348615,72.0,-24.0
genetic-karole,2018-12-14 18:00:00,518280,,0.96459407,1.076378,0.6678371,-12.0,
fantastic-tallie,2018-12-14 18:00:00,518280,-1 days +12:00:00,0.95745105,1.0572932,0.6639685,-12.0,-12.0
close-lenette,2018-12-14 18:00:00,518280,-1 days +00:00:00,0.9518208,1.0489625,0.65870905,-12.0,-24.0
joyous-gabriella,2018-12-15 06:00:00,518520,,0.91740626,1.0084764,0.6394674,-24.0,
charming-merline,2018-12-15 06:00:00,518520,-1 days +12:00:00,0.9571679,1.0361258,0.6666333,-24.0,-12.0
unfair-jeana,2018-12-15 06:00:00,518520,-1 days +00:00:00,0.90210724,0.9747955,0.6278603,-24.0,-24.0
