,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
dull-torrie,2018-08-08 15:30:00,456790,,0.61154026,0.45929644,0.4245453,72.0,
negative-melantha,2018-08-08 15:30:00,456790,-1 days +12:00:00,0.6684808,0.5202025,0.468285,72.0,-12.0
proud-quentin,2018-08-08 15:30:00,456790,-1 days +00:00:00,0.68725365,0.5480369,0.4846355,72.0,-24.0
prime-mara,2018-08-12 03:30:00,458470,,0.6636731,0.5559626,0.48677883,-12.0,
puny-celine,2018-08-12 03:30:00,458470,-1 days +12:00:00,0.6996615,0.6241161,0.5122945,-12.0,-12.0
maximum-marjie,2018-08-12 03:30:00,458470,-1 days +00:00:00,0.67884874,0.5780451,0.49914098,-12.0,-24.0
fascinating-kati,2018-08-12 15:30:00,458710,,0.78032684,0.7498493,0.57791513,-24.0,
cautious-celestine,2018-08-12 15:30:00,458710,-1 days +12:00:00,0.6857359,0.5871385,0.5086091,-24.0,-12.0
gross-bertha,2018-08-12 15:30:00,458710,-1 days +00:00:00,0.7061806,0.6248849,0.52077293,-24.0,-24.0
