,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
ill-julita,2020-02-13 12:30:00,722650,,0.82742214,0.76577663,0.59855825,72.0,
unwilling-drusilla,2020-02-13 12:30:00,722650,-1 days +12:00:00,0.8253641,0.7620237,0.5970176,72.0,-12.0
unknown-trudie,2020-02-13 12:30:00,722650,-1 days +00:00:00,0.7728302,0.66759396,0.5582867,72.0,-24.0
developed-basia,2020-02-17 00:30:00,724330,,0.8253433,0.816559,0.59157497,-12.0,
external-jocelyn,2020-02-17 00:30:00,724330,-1 days +12:00:00,0.98609036,1.0833548,0.7150547,-12.0,-12.0
accessible-francisca,2020-02-17 00:30:00,724330,-1 days +00:00:00,0.7855441,0.7454701,0.557966,-12.0,-24.0
legislative-adah,2020-02-17 12:30:00,724570,,0.7657178,0.7157237,0.5374988,-24.0,
slippery-roda,2020-02-17 12:30:00,724570,-1 days +12:00:00,0.7755181,0.7390185,0.54350775,-24.0,-12.0
unacceptable-lou,2020-02-17 12:30:00,724570,-1 days +00:00:00,0.76538235,0.71708727,0.5373114,-24.0,-24.0
