,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
empty-helen-elizabeth,2018-01-01 10:30:00,351570,,1.1917638,1.8129282,0.84098333,72.0,
grim-madge,2018-01-01 10:30:00,351570,-1 days +12:00:00,1.123331,1.6141883,0.805882,72.0,-12.0
adequate-filippa,2018-01-01 10:30:00,351570,-1 days +00:00:00,1.141805,1.6787267,0.8168194,72.0,-24.0
cool-lucille,2018-01-04 22:30:00,353250,,0.69325095,0.5518808,0.506261,-12.0,
super-adrianne,2018-01-04 22:30:00,353250,-1 days +12:00:00,0.62216884,0.45477661,0.45163667,-12.0,-12.0
nosy-megan,2018-01-04 22:30:00,353250,-1 days +00:00:00,0.6505342,0.49598336,0.47364748,-12.0,-24.0
helpful-jobie,2018-01-05 10:30:00,353490,,0.69565076,0.5511831,0.50200695,-24.0,
ill-cornelia,2018-01-05 10:30:00,353490,-1 days +12:00:00,0.6647443,0.50982285,0.47352338,-24.0,-12.0
criminal-charmian,2018-01-05 10:30:00,353490,-1 days +00:00:00,0.7109806,0.5824631,0.52181035,-24.0,-24.0
