,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
male-becki,2017-08-29 10:30:00,291570,,0.39310303,0.29525498,0.28751963,27.0,
concrete-linnie,2017-08-29 10:30:00,291570,-1 days +12:00:00,0.399767,0.2938067,0.2844002,27.0,-12.0
mushy-ralina,2017-08-29 10:30:00,291570,-1 days +00:00:00,0.80710953,0.71084243,0.6174857,27.0,-24.0
medical-karna,2017-09-01 22:30:00,293250,,0.3660816,0.22364967,0.26986578,-12.0,
explicit-marilyn,2017-09-01 22:30:00,293250,-1 days +12:00:00,0.36580575,0.22368598,0.26999605,-12.0,-12.0
fluffy-katrinka,2017-09-01 22:30:00,293250,-1 days +00:00:00,0.35752478,0.21524994,0.26259065,-12.0,-24.0
thorough-reena,2017-09-02 10:30:00,293490,,0.34800875,0.18783152,0.2651641,-24.0,
wooden-kelcy,2017-09-02 10:30:00,293490,-1 days +12:00:00,0.3476341,0.18758841,0.26490846,-24.0,-12.0
agricultural-venus,2017-09-02 10:30:00,293490,-1 days +00:00:00,0.34965086,0.18773554,0.2643095,-24.0,-24.0
