,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
witty-carmelia,2020-05-31 08:00:00,774400,,0.721368,0.7219328,0.5159921,-8.0,
adorable-tera,2020-05-31 08:00:00,774400,-1 days +12:00:00,0.76448536,0.7924955,0.55854553,-8.0,-12.0
creepy-vonnie,2020-05-31 08:00:00,774400,-1 days +00:00:00,0.735009,0.74116224,0.528472,-8.0,-24.0
colourful-bryn,2020-06-03 20:00:00,776080,,1.2452937,1.8992562,0.8569794,-11.0,
visual-joeann,2020-06-03 20:00:00,776080,-1 days +12:00:00,1.2124491,1.8934082,0.8218873,-11.0,-12.0
apparent-flor,2020-06-03 20:00:00,776080,-1 days +00:00:00,1.2078471,1.875713,0.8181997,-11.0,-24.0
genetic-cissy,2020-06-04 08:00:00,776320,,1.3597718,2.5512192,0.8793283,-23.0,
colourful-marcia,2020-06-04 08:00:00,776320,-1 days +12:00:00,1.3716731,2.5038075,0.8890931,-23.0,-12.0
circular-clemence,2020-06-04 08:00:00,776320,-1 days +00:00:00,1.3165514,2.335913,0.85886216,-23.0,-24.0
