,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
spontaneous-thia,2019-03-03 19:30:00,556230,,0.8361694,0.7877615,0.603373,72.0,
clean-kata,2019-03-03 19:30:00,556230,-1 days +12:00:00,0.8437569,0.795108,0.60660046,72.0,-12.0
active-ashleigh,2019-03-03 19:30:00,556230,-1 days +00:00:00,0.85050803,0.8136522,0.60967773,72.0,-24.0
active-elfie,2019-03-07 07:30:00,557910,,0.8060686,0.77854395,0.58562803,-12.0,
implicit-shantee,2019-03-07 07:30:00,557910,-1 days +12:00:00,0.7772069,0.72516257,0.56408346,-12.0,-12.0
sole-papagena,2019-03-07 07:30:00,557910,-1 days +00:00:00,0.7881894,0.7473016,0.5732735,-12.0,-24.0
gleaming-betteann,2019-03-07 19:30:00,558150,,0.72742367,0.5983967,0.5269032,-24.0,
regulatory-saidee,2019-03-07 19:30:00,558150,-1 days +12:00:00,0.7166183,0.5754062,0.5171354,-24.0,-12.0
friendly-danyette,2019-03-07 19:30:00,558150,-1 days +00:00:00,0.7790699,0.67742753,0.56372315,-24.0,-24.0
