,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
structural-bee,2018-09-01 22:30:00,468450,,0.5946558,0.39368162,0.4338758,-26.0,
fun-fedora,2018-09-01 22:30:00,468450,-1 days +12:00:00,0.6485218,0.46374735,0.47364458,-26.0,-12.0
remote-leona,2018-09-01 22:30:00,468450,-1 days +00:00:00,0.5935448,0.39191255,0.4338912,-26.0,-24.0
crowded-iormina,2018-09-05 10:30:00,470130,,0.738986,0.62109226,0.5267679,-12.0,
christian-fern,2018-09-05 10:30:00,470130,-1 days +12:00:00,0.7185623,0.5833848,0.51365393,-12.0,-12.0
splendid-emiline,2018-09-05 10:30:00,470130,-1 days +00:00:00,0.72337264,0.58975524,0.51612556,-12.0,-24.0
entitled-charlena,2018-09-05 22:30:00,470370,,0.6699898,0.51490223,0.47964367,-24.0,
great-gena,2018-09-05 22:30:00,470370,-1 days +12:00:00,0.6680484,0.5127201,0.47647056,-24.0,-12.0
fatal-risa,2018-09-05 22:30:00,470370,-1 days +00:00:00,0.6915839,0.54517156,0.4961327,-24.0,-24.0
