,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
insufficient-elora,2018-11-03 01:00:00,498260,,0.7390173,0.6275167,0.5462119,-66.0,
detailed-bert,2018-11-03 01:00:00,498260,-1 days +12:00:00,0.7381215,0.6253037,0.54650927,-66.0,-12.0
elegant-ilene,2018-11-03 01:00:00,498260,-1 days +00:00:00,0.7346654,0.6213181,0.5418539,-66.0,-24.0
cool-carolin,2018-11-06 13:00:00,499940,,0.28723872,0.08325636,0.20502715,-12.0,
alive-dita,2018-11-06 13:00:00,499940,-1 days +12:00:00,0.26632246,0.07680025,0.19367416,-12.0,-12.0
misleading-roslyn,2018-11-06 13:00:00,499940,-1 days +00:00:00,0.28202108,0.08016687,0.1966161,-12.0,-24.0
strange-waly,2018-11-07 01:00:00,500180,,0.26641285,0.094243675,0.19217001,-24.0,
defeated-lilith,2018-11-07 01:00:00,500180,-1 days +12:00:00,0.26492494,0.09184175,0.19084704,-24.0,-12.0
unexpected-minnaminnie,2018-11-07 01:00:00,500180,-1 days +00:00:00,0.2600413,0.0898,0.19008482,-24.0,-24.0
