,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
violent-ricky,2018-03-04 14:30:00,381410,,0.8815093,1.1998156,0.6441962,72.0,
rude-bernie,2018-03-04 14:30:00,381410,-1 days +12:00:00,0.8866534,1.2272637,0.6473577,72.0,-12.0
capitalist-barbara-anne,2018-03-04 14:30:00,381410,-1 days +00:00:00,0.8923728,1.2315825,0.6498484,72.0,-24.0
hungry-joycelin,2018-03-08 02:30:00,383090,,0.9247713,0.957123,0.65925455,-12.0,
adorable-gwen,2018-03-08 02:30:00,383090,-1 days +12:00:00,1.1751554,1.5283815,0.8551647,-12.0,-12.0
widespread-leann,2018-03-08 02:30:00,383090,-1 days +00:00:00,0.9676358,1.0514458,0.6892392,-12.0,-24.0
latin-lorianne,2018-03-08 14:30:00,383330,,0.86077803,0.8460827,0.6241586,-24.0,
proposed-izabel,2018-03-08 14:30:00,383330,-1 days +12:00:00,0.86177987,0.84867483,0.62604845,-24.0,-12.0
broad-faina,2018-03-08 14:30:00,383330,-1 days +00:00:00,0.87106436,0.86713773,0.6342233,-24.0,-24.0
