,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
capable-alina,2018-06-02 18:30:00,424690,,0.59569114,0.57737774,0.43441966,72.0,
working-vania,2018-06-02 18:30:00,424690,-1 days +12:00:00,0.608949,0.6030596,0.44875798,72.0,-12.0
polite-carena,2018-06-02 18:30:00,424690,-1 days +00:00:00,0.6985399,0.7135229,0.5153942,72.0,-24.0
satisfied-zsazsa,2018-06-06 06:30:00,426370,,0.5885565,0.6746259,0.43313026,-12.0,
right-thomasine,2018-06-06 06:30:00,426370,-1 days +12:00:00,0.599299,0.68297464,0.4420453,-12.0,-12.0
obliged-emilee,2018-06-06 06:30:00,426370,-1 days +00:00:00,0.59481573,0.68012613,0.43855178,-12.0,-24.0
splendid-leora,2018-06-06 18:30:00,426610,,0.6170146,0.46879068,0.4478695,-24.0,
different-barbara,2018-06-06 18:30:00,426610,-1 days +12:00:00,0.56974214,0.4126073,0.41824389,-24.0,-12.0
alternative-rahel,2018-06-06 18:30:00,426610,-1 days +00:00:00,0.5405243,0.36976162,0.39625907,-24.0,-24.0
