,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
enthusiastic-lynna,2019-11-03 07:30:00,673590,,1.5547619,2.8665059,1.0619355,-64.0,
dry-vivie,2019-11-03 07:30:00,673590,-1 days +12:00:00,1.5201111,2.8267038,1.0355877,-64.0,-12.0
linear-morna,2019-11-03 07:30:00,673590,-1 days +00:00:00,1.5211315,2.8278162,1.0359458,-64.0,-24.0
grubby-corene,2019-11-06 19:30:00,675270,,1.1060432,1.3348913,0.7354687,-12.0,
elaborate-lavinie,2019-11-06 19:30:00,675270,-1 days +12:00:00,1.1036998,1.3225662,0.7321696,-12.0,-12.0
registered-adorne,2019-11-06 19:30:00,675270,-1 days +00:00:00,1.165239,1.451253,0.777425,-12.0,-24.0
distant-ethelda,2019-11-07 07:30:00,675510,,2.113983,4.8252406,1.3359114,15.0,
definite-julee,2019-11-07 07:30:00,675510,-1 days +12:00:00,1.3845844,2.1096911,0.8643599,15.0,-12.0
upset-sonja,2019-11-07 07:30:00,675510,-1 days +00:00:00,1.3264917,1.9367867,0.84682655,15.0,-24.0
