,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
blank-peri,2020-04-28 20:00:00,758800,,0.63379866,0.48565415,0.46526074,-8.0,
defeated-liliane,2020-04-28 20:00:00,758800,-1 days +12:00:00,0.620637,0.4682629,0.45034662,-8.0,-12.0
yearning-pepi,2020-04-28 20:00:00,758800,-1 days +00:00:00,0.6331896,0.48558807,0.46433115,-8.0,-24.0
wrong-tally,2020-05-02 08:00:00,760480,,0.6896424,0.51904744,0.4933965,4.0,
poised-micaela,2020-05-02 08:00:00,760480,-1 days +12:00:00,0.740464,0.59371257,0.53656226,4.0,-12.0
wily-trixy,2020-05-02 08:00:00,760480,-1 days +00:00:00,0.6876788,0.5164358,0.49446306,4.0,-24.0
thorough-nanette,2020-05-02 20:00:00,760720,,0.6705818,0.52239436,0.4749237,-4.0,
perfect-brandi,2020-05-02 20:00:00,760720,-1 days +12:00:00,0.692359,0.5536569,0.49643102,-4.0,-12.0
moaning-roselle,2020-05-02 20:00:00,760720,-1 days +00:00:00,0.6842284,0.54376227,0.4891697,-4.0,-24.0
