,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
poised-linn,2017-07-30 00:00:00,276960,,0.9627159,1.011933,0.7066552,7.0,
coloured-drona,2017-07-30 00:00:00,276960,-1 days +12:00:00,0.6540237,0.48736587,0.47354174,7.0,-12.0
smoggy-koren,2017-07-30 00:00:00,276960,-1 days +00:00:00,0.6540099,0.48726094,0.47341597,7.0,-24.0
rational-bess,2017-08-02 12:00:00,278640,,0.6579589,0.50775987,0.474404,-12.0,
preliminary-tallie,2017-08-02 12:00:00,278640,-1 days +12:00:00,0.66145873,0.50846356,0.4763297,-12.0,-12.0
impressive-eachelle,2017-08-02 12:00:00,278640,-1 days +00:00:00,0.7166107,0.5697097,0.5150662,-12.0,-24.0
combined-deb,2017-08-03 00:00:00,278880,,0.6737775,0.5206673,0.49144158,-24.0,
ripe-theresa,2017-08-03 00:00:00,278880,-1 days +12:00:00,0.6571804,0.5048061,0.47637597,-24.0,-12.0
shrill-juli,2017-08-03 00:00:00,278880,-1 days +00:00:00,0.67065674,0.5197558,0.48600817,-24.0,-24.0
