,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
influential-roze,2019-02-02 02:00:00,541960,,1.4564332,2.2954435,0.9746749,72.0,
secondary-hortense,2019-02-02 02:00:00,541960,-1 days +12:00:00,1.4343008,2.2165926,0.9581878,72.0,-12.0
yucky-filia,2019-02-02 02:00:00,541960,-1 days +00:00:00,1.4498085,2.2736447,0.9723347,72.0,-24.0
unchanged-molly,2019-02-05 14:00:00,543640,,1.1591185,1.4644293,0.8299573,5.0,
smiling-juana,2019-02-05 14:00:00,543640,-1 days +12:00:00,1.0993484,1.3066884,0.77693826,5.0,-12.0
middle-katharine,2019-02-05 14:00:00,543640,-1 days +00:00:00,1.0558678,1.2097558,0.7444224,5.0,-24.0
yelping-lorelei,2019-02-06 02:00:00,543880,,0.9377335,0.96717405,0.6329021,-7.0,
racial-zsazsa,2019-02-06 02:00:00,543880,-1 days +12:00:00,0.9350702,0.95930594,0.6239294,-7.0,-12.0
magic-tallou,2019-02-06 02:00:00,543880,-1 days +00:00:00,1.1394268,1.4584026,0.8212239,-7.0,-24.0
