,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
artificial-casandra,2020-08-01 09:30:00,804190,,0.75622153,1.0143667,0.5527012,72.0,
scattered-cristal,2020-08-01 09:30:00,804190,-1 days +12:00:00,0.7572697,1.0142316,0.5514702,72.0,-12.0
alone-horatia,2020-08-01 09:30:00,804190,-1 days +00:00:00,0.7577904,1.017607,0.55209655,72.0,-24.0
vertical-chastity,2020-08-04 21:30:00,805870,,0.45626903,0.264883,0.33206126,-12.0,
purring-rebbecca,2020-08-04 21:30:00,805870,-1 days +12:00:00,0.4296349,0.24798131,0.31193966,-12.0,-12.0
confused-bunny,2020-08-04 21:30:00,805870,-1 days +00:00:00,0.42062572,0.24159396,0.30271778,-12.0,-24.0
wise-leslie,2020-08-05 09:30:00,806110,,0.50493306,0.30990866,0.3675468,-24.0,
steep-marley,2020-08-05 09:30:00,806110,-1 days +12:00:00,0.51775616,0.31738475,0.37722126,-24.0,-12.0
single-elinore,2020-08-05 09:30:00,806110,-1 days +00:00:00,0.5046434,0.3083758,0.36684537,-24.0,-24.0
