,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
changing-lorette,2017-07-12 20:30:00,268730,,0.617894,0.4614389,0.45195556,72.0,
pregnant-glyn,2017-07-12 20:30:00,268730,-1 days +12:00:00,0.57173806,0.40836087,0.4113977,72.0,-12.0
increasing-fancy,2017-07-12 20:30:00,268730,-1 days +00:00:00,0.57039803,0.40503082,0.41422215,72.0,-24.0
abstract-serene,2017-07-16 08:30:00,270410,,0.663748,0.49318567,0.46936285,-12.0,
evident-hedvige,2017-07-16 08:30:00,270410,-1 days +12:00:00,0.6556763,0.48571196,0.46495652,-12.0,-12.0
inc-modesta,2017-07-16 08:30:00,270410,-1 days +00:00:00,0.68266004,0.5303493,0.48545107,-12.0,-24.0
exceptional-eran,2017-07-16 20:30:00,270650,,0.6428216,0.50159234,0.45263362,-24.0,
coming-faina,2017-07-16 20:30:00,270650,-1 days +12:00:00,0.64296436,0.5017609,0.45333055,-24.0,-12.0
mute-lark,2017-07-16 20:30:00,270650,-1 days +00:00:00,0.6410157,0.49961665,0.45274618,-24.0,-24.0
