,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
weird-alanna,2019-08-30 22:30:00,642690,,0.83626,0.846229,0.5980311,-17.0,
entire-arlana,2019-08-30 22:30:00,642690,-1 days +12:00:00,0.8547632,0.8778265,0.61225265,-17.0,-12.0
motionless-emylee,2019-08-30 22:30:00,642690,-1 days +00:00:00,0.821142,0.820899,0.58630115,-17.0,-24.0
selective-paulie,2019-09-03 10:30:00,644370,,0.7858464,0.84428734,0.56071407,-12.0,
damaged-morgana,2019-09-03 10:30:00,644370,-1 days +12:00:00,0.7860643,0.8377166,0.5608818,-12.0,-12.0
good-jackie,2019-09-03 10:30:00,644370,-1 days +00:00:00,0.78692037,0.84625036,0.5613163,-12.0,-24.0
annoyed-annelise,2019-09-03 22:30:00,644610,,1.1371794,1.4004416,0.8314709,-24.0,
stiff-heidi,2019-09-03 22:30:00,644610,-1 days +12:00:00,0.721798,0.61099267,0.51374274,-24.0,-12.0
relieved-malory,2019-09-03 22:30:00,644610,-1 days +00:00:00,0.7270298,0.6221892,0.5173469,-24.0,-24.0
